reference_key,product_id,category_id,product_name,barcode,description,is_active,source_item_code
catalogue:101,101,4,Water Spinach,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:101
catalogue:102,102,4,Bok Choy,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:102
catalogue:103,103,4,Choy Sum,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:103
catalogue:104,104,4,Chinese Broccoli,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:104
catalogue:105,105,4,Amaranth Leaves,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:105
catalogue:106,106,4,Fiddlehead Fern,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:106
catalogue:107,107,4,Sweet Leaf,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:107
catalogue:108,108,4,Round Cabbage,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:108
catalogue:109,109,4,Napa Cabbage,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:109
catalogue:110,110,4,Watercress,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:110
catalogue:111,111,4,Sweet Potato Leaves,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:111
catalogue:112,112,4,Ceylon Spinach,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:112
catalogue:113,113,4,Iceberg Lettuce,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:113
catalogue:114,114,4,Bitter Gourd,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:114
catalogue:115,115,4,Ridge Gourd,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:115
catalogue:116,116,4,Winter Melon,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:116
catalogue:117,117,4,Bottle Gourd,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:117
catalogue:118,118,4,Snake Gourd,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:118
catalogue:119,119,4,Chayote,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:119
catalogue:120,120,4,Cucumber,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:120
catalogue:121,121,4,Pumpkin,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:121
catalogue:122,122,4,Yardlong Beans,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:122
catalogue:123,123,4,French Beans,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:123
catalogue:124,124,4,Winged Beans,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:124
catalogue:125,125,4,Okra,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:125
catalogue:126,126,4,Stink Bean,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:126
catalogue:127,127,4,Mung Bean Sprouts,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:127
catalogue:128,128,4,Soybean Sprouts,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:128
catalogue:129,129,4,Baby Corn,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:129
catalogue:130,130,4,Bird's Eye Chili,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:130
catalogue:131,131,4,Red Chili,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:131
catalogue:132,132,4,Green Chili,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:132
catalogue:133,133,4,Eggplant,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:133
catalogue:134,134,4,Tomato,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:134
catalogue:135,135,4,Lemongrass,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:135
catalogue:136,136,4,Ginger,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:136
catalogue:137,137,4,Galangal,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:137
catalogue:138,138,4,Turmeric,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:138
catalogue:139,139,4,Torch Ginger Flower,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:139
catalogue:140,140,4,Curry Leaves,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:140
catalogue:141,141,4,Pandan Leaves,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:141
catalogue:142,142,4,Kaffir Lime Leaves,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:142
catalogue:143,143,4,Spring Onion,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:143
