label,category_id,source_locator
Raclette,1,en:raclette
Zamorski,1,en:zamorski
Cow milks,1,en:cow-milks
Baked milk,1,en:baked-milk
Dry butter,1,en:dry-butter
Goat milks,1,en:goat-milks
Cow cheeses,1,en:cow-cheeses
Fresh milks,1,en:fresh-milks
Mare's milk,1,en:mare-s-milk
Sheep milks,1,en:sheep-milks
Whey butter,1,en:whey-butter
Whole milks,1,en:whole-milks
whey powder,1,en:whey-powder
Fried cheese,1,en:fried-cheese
Goat cheeses,1,en:goat-cheeses
Hard cheeses,1,en:hard-cheeses
Herb butters,1,en:herb-butters
Light butter,1,en:light-butter
Soft cheeses,1,en:soft-cheeses
Balkan cheese,1,en:balkan-cheese
Buffalo milks,1,en:buffalo-milks
Cream cheeses,1,en:cream-cheeses
Cured cheeses,1,en:cured-cheeses
Czech cheeses,1,en:czech-cheeses
Fresh cheeses,1,en:fresh-cheeses
Fruit yogurts,1,en:fruit-yogurts
Grated cheese,1,en:grated-cheese
Greek cheeses,1,en:greek-cheeses
Honey yogurts,1,en:honey-yogurts
Irish cheeses,1,en:irish-cheeses
Milk permeate,1,en:milk-permeate
Mixed yogurts,1,en:mixed-yogurts
Plain yogurts,1,en:plain-yogurts
Skimmed milks,1,en:skimmed-milks
Spanish milks,1,en:spanish-milks
Yogurt drinks,1,en:yogurt-drinks
Abbaye cheeses,1,en:abbaye-cheeses
Attested milks,1,en:attested-milks
Brined cheeses,1,en:brined-cheeses
Cheese spreads,1,en:cheese-spreads
Meats,2,en:meats
Breaded chicken,2,en:breaded-chicken
Chicken and its products,2,en:chicken-and-its-products
Beef,2,en:beef
Game,2,en:game
Pork,2,en:pork
Frogs,2,en:frogs
Zebra,2,en:zebra
Snails,2,en:snails
Steaks,2,en:steaks
Insects,2,en:insects
Ostrich,2,en:ostrich
Chickens,2,en:chickens
Kangaroo,2,en:kangaroo
Dromedary,2,en:dromedary
Lamb meat,2,en:lamb-meat
Poultries,2,en:poultries
Veal meat,2,en:veal-meat
Horse meat,2,en:horse-meat
Sheep meat,2,en:sheep-meat
Fresh meats,2,en:fresh-meats
Pig carcass,2,en:pig-carcass
Rabbit meat,2,en:rabbit-meat
Cooked meats,2,en:cooked-meats
Ground meats,2,en:ground-meats
Reindeer meat,2,en:reindeer-meat
Roe deer meat,2,en:roe-deer-meat
Chicken nuggets,2,en:chicken-nuggets
Crocodile meats,2,en:crocodile-meats
Wapiti elk meat,2,en:wapiti-elk-meat
Cooked veal meat,2,en:cooked-veal-meat
Meat for osso buco,2,en:meat-for-osso-buco
European moose meat,2,en:european-moose-meat
Chicken preparations,2,en:chicken-preparations
Frozen breaded chicken,2,en:frozen-breaded-chicken
Prepared chicken meats,2,en:prepared-chicken-meats
Breaded chicken cutlets,2,en:breaded-chicken-cutlets
Marinated chicken meats,2,en:marinated-chicken-meats
Belgian fresh meat and offal,2,en:belgian-fresh-meat-and-offal
Italian fresh meat and offal,2,en:italian-fresh-meat-and-offal
Ants,2,en:ants
Hart,2,en:hart
Bacon,2,en:bacon
Capon,2,en:capon
Ducks,2,en:ducks
Geese,2,en:geese
Quail,2,en:quail
Pigeon,2,en:pigeon
Turkeys,2,en:turkeys
Venison,2,en:venison
Seafood,3,en:seafood
Mollusc,3,en:mollusc
Jellyfish,3,en:jellyfish
Shellfish,3,en:shellfish
Sea urchin,3,en:sea-urchin
Crustaceans,3,en:crustaceans
Lobster bisque,3,en:lobster-bisque
Seafood salads,3,en:seafood-salads
Salmon carpaccio,3,en:salmon-carpaccio
Marinated seafood,3,en:marinated-seafood
Seafood au gratin,3,en:seafood-au-gratin
Czech sea products,3,en:czech-sea-products
Irish sea products,3,en:irish-sea-products
German sea products,3,en:german-sea-products
Shrimp preparations,3,en:shrimp-preparations
Belgian sea products,3,en:belgian-sea-products
British sea products,3,en:british-sea-products
Chinese sea products,3,en:chinese-sea-products
Finnish sea products,3,en:finnish-sea-products
Italian sea products,3,en:italian-sea-products
Spanish sea products,3,en:spanish-sea-products
Armenian sea products,3,en:armenian-sea-products
Romanian sea products,3,en:romanian-sea-products
Brazilian sea products,3,en:brazilian-sea-products
Hungarian sea products,3,en:hungarian-sea-products
Portuguese sea products,3,en:portuguese-sea-products
Fishes and their products,3,en:fishes-and-their-products
Seaweeds and their products,3,en:seaweeds-and-their-products
Clam,3,en:clam
Crab,3,en:crab
Whelk,3,en:whelk
Fishes,3,en:fishes
Abalone,3,en:abalone
Cockles,3,en:cockles
Mussels,3,en:mussels
Oysters,3,en:oysters
Scallop,3,en:scallop
Shrimps,3,en:shrimps
Calamari,3,en:calamari
Crayfish,3,en:crayfish
lobsters,3,en:lobsters
Cuttlefish,3,en:cuttlefish
Fal Oyster,3,en:fal-oyster
Boiled clam,3,en:boiled-clam
Fried Squid,3,en:fried-squid
Spider crab,3,en:spider-crab
Cooked whelk,3,en:cooked-whelk
Jumbo shrimps,3,en:jumbo-shrimps
Nori seaweeds,3,en:nori-seaweeds
Toothed wrack,3,en:toothed-wrack
Vegetables,4,en:vegetables
Okras,4,en:okras
Chards,4,en:chards
Sorrel,4,en:sorrel
Turnip,4,en:turnip
Carrots,4,en:carrots
Endives,4,en:endives
Parsnip,4,en:parsnip
Beetroot,4,en:beetroot
Broccoli,4,en:broccoli
Radishes,4,en:radishes
Salsifis,4,en:salsifis
Tomatoes,4,en:tomatoes
Zucchini,4,en:zucchini
Cucumbers,4,en:cucumbers
scallions,4,en:scallions
Aubergines,4,en:aubergines
Flat beans,4,en:flat-beans
Green peas,4,en:green-peas
Broad beans,4,en:broad-beans
Green beans,4,en:green-beans
Taro tubers,4,en:taro-tubers
Butter beans,4,en:butter-beans
Raw beetroot,4,en:raw-beetroot
Cassava roots,4,en:cassava-roots
Green garlics,4,en:green-garlics
Sweet peppers,4,en:sweet-peppers
Hearts of palm,4,en:hearts-of-palm
Mustard greens,4,en:mustard-greens
Vegetable rods,4,en:vegetable-rods
Leaf vegetables,4,en:leaf-vegetables
Root vegetables,4,en:root-vegetables
Brussels sprouts,4,en:brussels-sprouts
Diced vegetables,4,en:diced-vegetables
Mixed vegetables,4,en:mixed-vegetables
French vegetables,4,en:french-vegetables
Belgian vegetables,4,en:belgian-vegetables
Austrian vegetables,4,en:austrian-vegetables
Jerusalem artichoke,4,en:jerusalem-artichoke
Salads without dressing,4,en:salads-without-dressing
Thinly-shredded vegetables,4,en:thinly-shredded-vegetables
Leeks,4,en:leeks
Mashua,4,en:mashua
rocket,4,en:rocket
Rhubarb,4,en:rhubarb
Cabbages,4,en:cabbages
Cardoons,4,en:cardoons
Lettuces,4,en:lettuces
Rutabaga,4,en:rutabaga
Spinachs,4,en:spinachs
Fruits,5,en:fruits
Figs,5,en:figs
Dates,5,en:dates
Kakis,5,en:kakis
Pears,5,en:pears
Plums,5,en:plums
Apples,5,en:apples
Citrus,5,en:citrus
Grapes,5,en:grapes
Melons,5,en:melons
Berries,5,en:berries
Medlars,5,en:medlars
Peaches,5,en:peaches
Pitayas,5,en:pitayas
Quinces,5,en:quinces
Apricots,5,en:apricots
Cherries,5,en:cherries
Kumquats,5,en:kumquats
Camu-Camu,5,en:camu-camu
Kiwifruits,5,en:kiwifruits
Dutch fruits,5,en:dutch-fruits
Fresh fruits,5,en:fresh-fruits
Pomegranates,5,en:pomegranates
British fruit,5,en:british-fruit
French fruits,5,en:french-fruits
Prickly pears,5,en:prickly-pears
Austrian fruit,5,en:austrian-fruit
Belgian fruits,5,en:belgian-fruits
Golden berries,5,en:golden-berries
Persimmon pulp,5,en:persimmon-pulp
Spanish fruits,5,en:spanish-fruits
Tropical fruits,5,en:tropical-fruits
Fruits (shelf stable),5,en:fruits-shelf-stable
Immature tamarind pulp,5,en:immature-tamarind-pulp
Okra cooked without salt,5,en:okra-cooked-without-salt
Yuzu,5,en:yuzu
Limes,5,en:limes
Guavas,5,en:guavas
Lemons,5,en:lemons
Bananas,5,en:bananas
Lychees,5,en:lychees
Mangoes,5,en:mangoes
Oranges,5,en:oranges
Papayas,5,en:papayas
Pomelos,5,en:pomelos
Avocados,5,en:avocados
Coconuts,5,en:coconuts
Carambola,5,en:carambola
Mandarins,5,en:mandarins
Pink Lady,5,en:pink-lady
Nuts,6,en:nuts
Snacks,6,en:snacks
Almonds,6,en:almonds
Peanuts,6,en:peanuts
Popcorn,6,en:popcorn
Walnuts,6,en:walnuts
Chestnuts,6,en:chestnuts
Hazelnuts,6,en:hazelnuts
Kola nuts,6,en:kola-nuts
Pine nuts,6,en:pine-nuts
Areca nuts,6,en:areca-nuts
Mixed nuts,6,en:mixed-nuts
Pecan nuts,6,en:pecan-nuts
Pistachios,6,en:pistachios
Brazil nuts,6,en:brazil-nuts
Cashew nuts,6,en:cashew-nuts
French nuts,6,en:french-nuts
Roasted nuts,6,en:roasted-nuts
Salty snacks,6,en:salty-snacks
Shelled nuts,6,en:shelled-nuts
Sweet snacks,6,en:sweet-snacks
Unsalted nuts,6,en:unsalted-nuts
Flavoured nuts,6,en:flavoured-nuts
Macadamia nuts,6,en:macadamia-nuts
Unshelled nuts,6,en:unshelled-nuts
Nut-based snacks,6,en:nut-based-snacks
Raw nuts or seeds,6,en:raw-nuts-or-seeds
Extruded crispbreads,6,en:extruded-crispbreads
Snacks variety packs,6,en:snacks-variety-packs
Flavoured dried dates,6,en:flavoured-dried-dates
Mixed nuts and dried fruits,6,en:mixed-nuts-and-dried-fruits
Prepared unshelled nuts or seeds,6,en:prepared-unshelled-nuts-or-seeds
Bars,6,en:bars
Chaat,6,en:chaat
Tapas,6,en:tapas
Onigiri,6,en:onigiri
Samosas,6,en:samosas
Arancini,6,en:arancini
Corn dogs,6,en:corn-dogs
Appetizers,6,en:appetizers
Cedar nuts,6,en:cedar-nuts
Chocolates,6,en:chocolates
Panzerotti,6,en:panzerotti
Korean pine,6,en:korean-pine
Salted nuts,6,en:salted-nuts
Roasted peas,6,en:roasted-peas
Black walnuts,6,en:black-walnuts
European Pine,6,en:european-pine
Fresh walnuts,6,en:fresh-walnuts
Plain popcorn,6,en:plain-popcorn
